match_id,event_id,treated_symbol,treated_minute_ts_utc,control_rank,control_symbol,control_minute_ts_utc
M0112,D011,T05,2012-02-09T19:34:00.000Z,2,C0112,2012-02-09T19:34:00.000Z
M0113,D011,T05,2012-02-09T19:34:00.000Z,3,C0113,2012-02-09T19:34:00.000Z
M0121,D012,T05,2012-02-10T19:35:00.000Z,1,C0121,2012-02-10T19:35:00.000Z
M0122,D012,T05,2012-02-10T19:35:00.000Z,2,C0122,2012-02-10T19:35:00.000Z
M0123,D012,T05,2012-02-10T19:35:00.000Z,3,C0123,2012-02-10T19:35:00.000Z
M0131,D013,T06,2013-02-05T19:30:00.000Z,1,C0131,2013-02-05T19:30:00.000Z
M0132,D013,T06,2013-02-05T19:30:00.000Z,2,C0132,2013-02-05T19:30:00.000Z
M0133,D013,T06,2013-02-05T19:30:00.000Z,3,C0133,2013-02-05T19:30:00.000Z
M0141,D014,T06,2013-02-06T19:31:00.000Z,1,C0141,2013-02-06T19:31:00.000Z
M0142,D014,T06,2013-02-06T19:31:00.000Z,2,C0142,2013-02-06T19:31:00.000Z
M0143,D014,T06,2013-02-06T19:31:00.000Z,3,C0143,2013-02-06T19:31:00.000Z
M0151,D015,T07,2013-02-07T19:32:00.000Z,1,C0151,2013-02-07T19:32:00.000Z
M0152,D015,T07,2013-02-07T19:32:00.000Z,2,C0152,2013-02-07T19:32:00.000Z
M0153,D015,T07,2013-02-07T19:32:00.000Z,3,C0153,2013-02-07T19:32:00.000Z
M0161,D016,T07,2013-02-08T19:33:00.000Z,1,C0161,2013-02-08T19:33:00.000Z
M0162,D016,T07,2013-02-08T19:33:00.000Z,2,C0162,2013-02-08T19:33:00.000Z
M0163,D016,T07,2013-02-08T19:33:00.000Z,3,C0163,2013-02-08T19:33:00.000Z
M0171,D017,T08,2013-02-09T19:34:00.000Z,1,C0171,2013-02-09T19:34:00.000Z
M0172,D017,T08,2013-02-09T19:34:00.000Z,2,C0172,2013-02-09T19:34:00.000Z
M0173,D017,T08,2013-02-09T19:34:00.000Z,3,C0173,2013-02-09T19:34:00.000Z
M0181,D018,T08,2013-02-10T19:35:00.000Z,1,C0181,2013-02-10T19:35:00.000Z
M0182,D018,T08,2013-02-10T19:35:00.000Z,2,C0182,2013-02-10T19:35:00.000Z
M0183,D018,T08,2013-02-10T19:35:00.000Z,3,C0183,2013-02-10T19:35:00.000Z
M0191,D019,T09,2014-02-05T19:30:00.000Z,1,C0191,2014-02-05T19:30:00.000Z
M0192,D019,T09,2014-02-05T19:30:00.000Z,2,C0192,2014-02-05T19:30:00.000Z
M0193,D019,T09,2014-02-05T19:30:00.000Z,3,C0193,2014-02-05T19:30:00.000Z
M0201,D020,T09,2014-02-06T19:31:00.000Z,1,C0201,2014-02-06T19:31:00.000Z
M0202,D020,T09,2014-02-06T19:31:00.000Z,2,C0202,2014-02-06T19:31:00.000Z
M0203,D020,T09,2014-02-06T19:31:00.000Z,3,C0203,2014-02-06T19:31:00.000Z
M0211,D021,T10,2014-02-07T19:32:00.000Z,1,C0211,2014-02-07T19:32:00.000Z
M0212,D021,T10,2014-02-07T19:32:00.000Z,2,C0212,2014-02-07T19:32:00.000Z
M0213,D021,T10,2014-02-07T19:32:00.000Z,3,C0213,2014-02-07T19:32:00.000Z
M0221,D022,T10,2014-02-08T19:33:00.000Z,1,C0221,2014-02-08T19:33:00.000Z
M0222,D022,T10,2014-02-08T19:33:00.000Z,2,C0222,2014-02-08T19:33:00.000Z
M0223,D022,T10,2014-02-08T19:33:00.000Z,3,C0223,2014-02-08T19:33:00.000Z
M0231,D023,T11,2014-02-09T19:34:00.000Z,1,C0231,2014-02-09T19:34:00.000Z
M0232,D023,T11,2014-02-09T19:34:00.000Z,2,C0232,2014-02-09T19:34:00.000Z
M0233,D023,T11,2014-02-09T19:34:00.000Z,3,C0233,2014-02-09T19:34:00.000Z
M0241,D024,T11,2014-02-10T19:35:00.000Z,1,C0241,2014-02-10T19:35:00.000Z
M0242,D024,T11,2014-02-10T19:35:00.000Z,2,C0242,2014-02-10T19:35:00.000Z
M0243,D024,T11,2014-02-10T19:35:00.000Z,3,C0243,2014-02-10T19:35:00.000Z
HM0011,H001,T00,2015-03-10T19:35:00.000Z,1,HC0011,2015-03-10T19:35:00.000Z
HM0012,H001,T00,2015-03-10T19:35:00.000Z,2,HC0012,2015-03-10T19:35:00.000Z
HM0013,H001,T00,2015-03-10T19:35:00.000Z,3,HC0013,2015-03-10T19:35:00.000Z
HM0021,H002,T01,2015-03-11T19:36:00.000Z,1,HC0021,2015-03-11T19:36:00.000Z
HM0022,H002,T01,2015-03-11T19:36:00.000Z,2,HC0022,2015-03-11T19:36:00.000Z
HM0023,H002,T01,2015-03-11T19:36:00.000Z,3,HC0023,2015-03-11T19:36:00.000Z
HM0031,H003,T02,2015-03-12T19:37:00.000Z,1,HC0031,2015-03-12T19:37:00.000Z
HM0032,H003,T02,2015-03-12T19:37:00.000Z,2,HC0032,2015-03-12T19:37:00.000Z
HM0033,H003,T02,2015-03-12T19:37:00.000Z,3,HC0033,2015-03-12T19:37:00.000Z
HM0041,H004,T03,2015-03-13T19:38:00.000Z,1,HC0041,2015-03-13T19:38:00.000Z
HM0042,H004,T03,2015-03-13T19:38:00.000Z,2,HC0042,2015-03-13T19:38:00.000Z
HM0043,H004,T03,2015-03-13T19:38:00.000Z,3,HC0043,2015-03-13T19:38:00.000Z
HM0051,H005,H00,2015-03-14T19:39:00.000Z,1,HC0051,2015-03-14T19:39:00.000Z
HM0052,H005,H00,2015-03-14T19:39:00.000Z,2,HC0052,2015-03-14T19:39:00.000Z
HM0053,H005,H00,2015-03-14T19:39:00.000Z,3,HC0053,2015-03-14T19:39:00.000Z
HM0061,H006,H01,2015-03-15T19:40:00.000Z,1,HC0061,2015-03-15T19:40:00.000Z
HM0062,H006,H01,2015-03-15T19:40:00.000Z,2,HC0062,2015-03-15T19:40:00.000Z
HM0063,H006,H01,2015-03-15T19:40:00.000Z,3,HC0063,2015-03-15T19:40:00.000Z
HM0071,H007,H02,2015-03-16T19:41:00.000Z,1,HC0071,2015-03-16T19:41:00.000Z
HM0072,H007,H02,2015-03-16T19:41:00.000Z,2,HC0072,2015-03-16T19:41:00.000Z
HM0073,H007,H02,2015-03-16T19:41:00.000Z,3,HC0073,2015-03-16T19:41:00.000Z
HM0081,H008,H03,2015-03-17T19:42:00.000Z,1,HC0081,2015-03-17T19:42:00.000Z
HM0082,H008,H03,2015-03-17T19:42:00.000Z,2,HC0082,2015-03-17T19:42:00.000Z
HM0083,H008,H03,2015-03-17T19:42:00.000Z,3,HC0083,2015-03-17T19:42:00.000Z
