feature_id,case_id,symbol,minute_ts_utc,feature_name,feature_value,feature_status,source_role,source_sha256
30,CASE-H001,T00,2015-03-10T19:35:00.000Z,multivariate_l2,2.66,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
10,CASE-H001,T00,2015-03-10T19:35:00.000Z,option_contracts_per_100_equity_shares,0.72,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
6,CASE-H001,T00,2015-03-10T19:35:00.000Z,option_dollar_volume_z,2.5,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
29,CASE-H001,T00,2015-03-10T19:35:00.000Z,option_volume_anomaly_count_5m,3.0,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
8,CASE-H001,T00,2015-03-10T19:35:00.000Z,option_volume_ratio,2.58,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
5,CASE-H001,T00,2015-03-10T19:35:00.000Z,option_volume_z,2.66,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
16,CASE-H001,T00,2015-03-10T19:35:00.000Z,realized_vol_15m,0.013000000000000001,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
17,CASE-H001,T00,2015-03-10T19:35:00.000Z,realized_vol_30m,0.01,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
15,CASE-H001,T00,2015-03-10T19:35:00.000Z,realized_vol_5m,0.012,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
13,CASE-H001,T00,2015-03-10T19:35:00.000Z,return_15m,-0.001,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
11,CASE-H001,T00,2015-03-10T19:35:00.000Z,return_1m,0.001,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
14,CASE-H001,T00,2015-03-10T19:35:00.000Z,return_30m,0.001,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
12,CASE-H001,T00,2015-03-10T19:35:00.000Z,return_5m,0.003,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
28,CASE-H001,T00,2015-03-10T19:35:00.000Z,spread_widen_count_5m,3.0,full,feature_vectors,c327d11611d92dbf4845cb7665d6d05f4890de65f5fe53fa81433f86b1bc759b
