event_id,historical_symbol,permno,gvkey,first_trade_local,first_trade_utc,live_case_visible,forensic_case_visible,live_related_security_count,forensic_related_security_count,live_prior_visible_case_count,forensic_prior_visible_case_count,enforcement_public_at,research_use_only
HEJFE-2558DC6865781793,JNPR,86979,121718,2013-04-23 14:31:00,2013-04-23T18:31:00Z,0,1,0,40,0,1,2015-08-11T23:59:59Z,1
HEJFE-66BA40A20548B7E3,LRCX,48486,6565,2013-04-24 13:43:00,2013-04-24T17:43:00Z,0,1,0,41,0,1,2015-08-11T23:59:59Z,1
HEJFE-E575622C8FDAB71F,ISIL,87612,130762,2013-04-24 14:57:00,2013-04-24T18:57:00Z,0,1,0,42,0,1,2015-08-11T23:59:59Z,1
HEJFE-12CC8075D3F634CD,ECOL,12758,1439,2013-04-24 15:07:00,2013-04-24T19:07:00Z,0,1,0,43,0,1,2015-08-11T23:59:59Z,1
HEJFE-06AE65B9C8FB0395,STMP,87000,121673,2013-04-24 15:28:00,2013-04-24T19:28:00Z,0,1,0,44,0,1,2015-08-11T23:59:59Z,1
HEJFE-1FCAAB3F7CC931CF,VRSN,85753,66368,2013-04-25 14:07:00,2013-04-25T18:07:00Z,0,1,0,45,0,1,2015-08-11T23:59:59Z,1
HEJFE-C368B17FADFC15C7,ECHO,93079,179957,2013-04-25 14:14:00,2013-04-25T18:14:00Z,0,1,0,46,0,1,2015-08-11T23:59:59Z,1
HEJFE-489E74F74AFB5AFA,MCRL,81162,31147,2013-04-25 14:32:00,2013-04-25T18:32:00Z,0,1,0,47,0,1,2015-08-11T23:59:59Z,1
HEJFE-AC78A2434E4AE8FB,ACO,11599,14182,2013-04-25 14:40:00,2013-04-25T18:40:00Z,0,1,0,48,0,1,2015-08-11T23:59:59Z,1
HEJFE-6C73B4B05384BC1E,PFPT,13377,170335,2013-04-25 15:00:00,2013-04-25T19:00:00Z,0,1,0,49,0,1,2015-08-11T23:59:59Z,1
HEJFE-8F17F6BEDF631C8B,MCRI,79507,28704,2013-04-25 15:08:00,2013-04-25T19:08:00Z,0,1,0,50,0,1,2015-08-11T23:59:59Z,1
HEJFE-8536AD777ECEEACB,GDI,80446,30098,2013-04-25 15:17:00,2013-04-25T19:17:00Z,0,1,0,51,0,1,2015-08-11T23:59:59Z,1
HEJFE-7CA38C1FDA5EA4D0,CENX,83244,62516,2013-04-25 15:22:00,2013-04-25T19:22:00Z,0,1,0,52,0,1,2015-08-11T23:59:59Z,1
HEJFE-ED8CFC03F1053B9A,CAMP,20670,2615,2013-04-25 15:48:00,2013-04-25T19:48:00Z,0,1,0,53,0,1,2015-08-11T23:59:59Z,1
HEJFE-9527526FED86FA7D,EHTH,91498,174389,2013-04-25 15:56:00,2013-04-25T19:56:00Z,0,1,0,53,0,1,2015-08-11T23:59:59Z,1
HEJFE-7B8A1A0CD3E2966F,APC,70332,11923,2013-05-06 13:27:00,2013-05-06T17:27:00Z,0,1,0,54,0,1,2015-08-11T23:59:59Z,1
HEJFE-A5AE76F13A48C40F,DGI,92924,180029,2013-05-07 14:29:00,2013-05-07T18:29:00Z,0,1,0,54,0,1,2015-08-11T23:59:59Z,1
HEJFE-5089F8E69B6BC646,KELYA,47379,6379,2013-05-07 15:49:00,2013-05-07T19:49:00Z,0,1,0,55,0,1,2015-08-11T23:59:59Z,1
HEJFE-2FD552B9358078C6,BIO,61516,2220,2013-05-07 15:55:00,2013-05-07T19:55:00Z,0,1,0,56,0,1,2015-08-11T23:59:59Z,1
HEJFE-D7BD84C255F2273D,GORO,12049,175503,2013-05-08 15:58:00,2013-05-08T19:58:00Z,0,1,0,57,0,1,2015-08-11T23:59:59Z,1
HEJFE-E61095F8DC4132DE,JNPR,86979,121718,2013-07-23 15:03:00,2013-07-23T19:03:00Z,0,1,0,57,0,1,2015-08-11T23:59:59Z,1
HEJFE-600696AB8463FFD8,PNRA,76695,24113,2013-07-23 15:11:00,2013-07-23T19:11:00Z,0,1,0,57,0,1,2015-08-11T23:59:59Z,1
HEJFE-2D6ABDFDE39E5919,MTH,75342,14790,2013-07-23 15:18:00,2013-07-23T19:18:00Z,0,1,0,57,0,1,2015-08-11T23:59:59Z,1
HEJFE-3BBEC23702C1A375,VMW,92257,178083,2013-07-23 15:35:00,2013-07-23T19:35:00Z,0,1,0,57,0,1,2015-08-11T23:59:59Z,1
HEJFE-2C887DA6F617936F,TIBX,87092,122061,2013-09-19 15:29:00,2013-09-19T19:29:00Z,0,1,0,58,0,1,2015-08-11T23:59:59Z,1
HEJFE-830337A8564B826E,ALGN,88860,141384,2013-10-17 13:43:00,2013-10-17T17:43:00Z,0,1,0,59,0,1,2015-08-11T23:59:59Z,1
HEJFE-B46D4F8F72DD0212,AMD,61241,1161,2013-10-17 14:40:00,2013-10-17T18:40:00Z,0,1,0,60,0,1,2015-08-11T23:59:59Z,1
HEJFE-BD3F577ADD90D512,GNTX,38659,5116,2013-10-21 15:21:00,2013-10-21T19:21:00Z,0,1,0,61,0,1,2015-08-11T23:59:59Z,1
HEJFE-350B3481A9CBBF0E,VMW,92257,178083,2013-10-21 15:49:00,2013-10-21T19:49:00Z,0,1,0,61,0,1,2015-08-11T23:59:59Z,1
HEJFE-F20ECC0C09BBC89E,JNPR,86979,121718,2013-10-22 13:58:00,2013-10-22T17:58:00Z,0,1,0,61,0,1,2015-08-11T23:59:59Z,1
HEJFE-8167467EBF64AABE,PNRA,76695,24113,2013-10-22 15:20:00,2013-10-22T19:20:00Z,0,1,0,61,0,1,2015-08-11T23:59:59Z,1
HEJFE-7C93D3838E60926C,CMTL,26201,3358,2014-12-10 15:41:00,2014-12-10T20:41:00Z,0,1,0,62,0,1,2015-08-11T23:59:59Z,1
HEJFE-C926C41F03E66E82,PAY,90657,162733,2014-12-15 15:36:00,2014-12-15T20:36:00Z,0,1,0,63,0,1,2015-08-11T23:59:59Z,1
HEJFE-81F188C0D790FE70,CREE,78875,27794,2015-01-20 15:39:00,2015-01-20T20:39:00Z,0,1,0,64,0,1,2015-08-11T23:59:59Z,1
HEJFE-48B08BAEDCEEDEFC,SNDK,82618,61513,2015-01-21 15:00:00,2015-01-21T20:00:00Z,0,1,0,65,0,1,2015-08-11T23:59:59Z,1
HEJFE-00D863517A3A754C,URI,85663,66065,2015-01-21 15:43:00,2015-01-21T20:43:00Z,0,1,0,66,0,1,2015-08-11T23:59:59Z,1
HEJFE-A9DB7C5F6FD1D978,SBUX,77702,25434,2015-01-22 13:22:00,2015-01-22T18:22:00Z,0,1,0,67,0,1,2015-08-11T23:59:59Z,1
HEJFE-4DEF5FDB3210E91B,SWKS,45911,1327,2015-01-22 15:41:00,2015-01-22T20:41:00Z,0,1,0,68,0,1,2015-08-11T23:59:59Z,1
HEJFE-EC5EB2BE0D97833F,STT,72726,10035,2015-01-22 15:50:00,2015-01-22T20:50:00Z,0,1,0,69,0,1,2015-08-11T23:59:59Z,1
HEJFE-8A11E54A9679E09D,ILMN,88446,138205,2015-01-27 15:11:00,2015-01-27T20:11:00Z,0,1,0,70,0,1,2015-08-11T23:59:59Z,1
HEJFE-0B87675BF7BEDBCA,EA,75828,16721,2015-01-27 15:48:00,2015-01-27T20:48:00Z,0,1,0,71,0,1,2015-08-11T23:59:59Z,1
HEJFE-DC66D5F2BDEC7C74,NOW,13447,171007,2015-01-28 13:31:00,2015-01-28T18:31:00Z,0,1,0,72,0,1,2015-08-11T23:59:59Z,1
HEJFE-334BAA0D940A418A,TER,51369,10453,2015-01-28 15:49:00,2015-01-28T20:49:00Z,0,1,0,73,0,1,2015-08-11T23:59:59Z,1
HEJFE-E8C5063581BE7EB7,F,25785,4839,2015-01-28 15:59:00,2015-01-28T20:59:00Z,0,1,0,74,0,1,2015-08-11T23:59:59Z,1
HEJFE-3ADF019D07BA84CE,HBI,91416,175319,2015-01-29 14:38:00,2015-01-29T19:38:00Z,0,1,0,75,0,1,2015-08-11T23:59:59Z,1
HEJFE-E25BAF3CFF23A3BE,BCR,46877,2044,2015-01-29 15:27:00,2015-01-29T20:27:00Z,0,1,0,76,0,1,2015-08-11T23:59:59Z,1
HEJFE-F9E72EEF6E5BD373,NATI,81501,31607,2015-01-29 15:51:00,2015-01-29T20:51:00Z,0,1,0,77,0,1,2015-08-11T23:59:59Z,1
HEJFE-9861757889227DD4,IDTI,44506,6003,2015-02-02 14:24:00,2015-02-02T19:24:00Z,0,1,0,78,0,1,2015-08-11T23:59:59Z,1
HEJFE-6101FFEDBA6EE41B,MDU,23835,6867,2015-02-02 14:47:00,2015-02-02T19:47:00Z,0,1,0,79,0,1,2015-08-11T23:59:59Z,1
HEJFE-A25F33B630365184,R,27633,9299,2015-02-02 15:43:00,2015-02-02T20:43:00Z,0,1,0,80,0,1,2015-08-11T23:59:59Z,1
HEJFE-C4D39B22234902F2,GILD,77274,24856,2015-02-03 15:50:00,2015-02-03T20:50:00Z,0,1,0,81,0,1,2015-08-11T23:59:59Z,1
HEJFE-7482DE1CD44C1A00,GMCR,79588,28877,2015-02-04 14:07:00,2015-02-04T19:07:00Z,0,1,0,82,0,1,2015-08-11T23:59:59Z,1
HEJFE-54A5D1D8A5B593C8,NUAN,82759,61685,2015-02-05 15:33:00,2015-02-05T20:33:00Z,0,1,0,83,0,1,2015-08-11T23:59:59Z,1
HEJFE-847F0EFE669B2440,P,12873,186520,2015-02-05 15:59:00,2015-02-05T20:59:00Z,0,1,0,84,0,1,2015-08-11T23:59:59Z,1
HEJFE-E342F6A93B35E012,GNRC,93246,183736,2015-02-10 15:52:00,2015-02-10T20:52:00Z,0,1,0,85,0,1,2015-08-11T23:59:59Z,1
HEJFE-947F50EBAFBA54DC,CRL,88281,137131,2015-02-10 15:55:00,2015-02-10T20:55:00Z,0,1,0,86,0,1,2015-08-11T23:59:59Z,1
HEJFE-4E643D38FFB3016E,PNRA,76695,24113,2015-02-11 14:58:00,2015-02-11T19:58:00Z,0,1,0,86,0,1,2015-08-11T23:59:59Z,1
HEJFE-20EC97300E6205B9,INWK,91432,174541,2015-02-12 14:01:00,2015-02-12T19:01:00Z,0,1,0,87,0,1,2015-08-11T23:59:59Z,1
HEJFE-FBA59D82CEE8FD00,CGNX,75654,16188,2015-02-12 14:04:00,2015-02-12T19:04:00Z,0,1,0,88,0,1,2015-08-11T23:59:59Z,1
HEJFE-FBFFFD99898188CF,COLM,85863,105936,2015-02-12 14:33:00,2015-02-12T19:33:00Z,0,1,0,89,0,1,2015-08-11T23:59:59Z,1
HEJFE-AF5106891E058D23,TNGO,12924,184715,2015-02-12 15:10:00,2015-02-12T20:10:00Z,0,1,0,90,0,1,2015-08-11T23:59:59Z,1
HEJFE-4080E04F012A7290,QLIK,12026,184603,2015-02-12 15:39:00,2015-02-12T20:39:00Z,0,1,0,91,0,1,2015-08-11T23:59:59Z,1
HEJFE-22BF36BABB9D19D7,ALNY,90178,264265,2015-02-12 15:55:00,2015-02-12T20:55:00Z,0,1,0,92,0,1,2015-08-11T23:59:59Z,1
HEJFE-D9C52E6CC595C380,ADI,60871,1632,2015-02-17 14:05:00,2015-02-17T19:05:00Z,0,1,0,93,0,1,2015-08-11T23:59:59Z,1
HEJFE-D346C6CFDFB6E581,WTS,10606,12445,2015-02-17 14:19:00,2015-02-17T19:19:00Z,0,1,0,94,0,1,2015-08-11T23:59:59Z,1
HEJFE-1E37362063697486,FLR,88853,4818,2015-02-17 15:06:00,2015-02-17T20:06:00Z,0,1,0,95,0,1,2015-08-11T23:59:59Z,1
HEJFE-B04F1AF8B6E30A43,CLD,93095,180635,2015-02-17 15:35:00,2015-02-17T20:35:00Z,0,1,0,96,0,1,2015-08-11T23:59:59Z,1
HEJFE-7CEFB3FE3D986464,ROG,35991,9216,2015-02-17 15:44:00,2015-02-17T20:44:00Z,0,1,0,97,0,1,2015-08-11T23:59:59Z,1
HEJFE-1783DE88400AF6CC,WMB,38156,11506,2015-02-18 14:54:00,2015-02-18T19:54:00Z,0,1,0,98,0,1,2015-08-11T23:59:59Z,1
HEJFE-93A7D27EF425EDF0,MIC,90507,161120,2015-02-18 15:58:00,2015-02-18T20:58:00Z,0,1,0,99,0,1,2015-08-11T23:59:59Z,1
HEJFE-7ED8DBD4804E4330,JWN,57817,7922,2015-02-19 14:29:00,2015-02-19T19:29:00Z,0,1,0,100,0,1,2015-08-11T23:59:59Z,1
HEJFE-A9D220DE2F7E7FC3,DE,19350,3835,2015-02-19 15:40:00,2015-02-19T20:40:00Z,0,1,0,101,0,1,2015-08-11T23:59:59Z,1
HEJFE-36433565499915E2,PLL,35051,8304,2015-02-23 15:03:00,2015-02-23T20:03:00Z,0,1,0,102,0,1,2015-08-11T23:59:59Z,1
HEJFE-0704950C71CFAFB4,TXRH,90427,160376,2015-02-23 15:24:00,2015-02-23T20:24:00Z,0,1,0,103,0,1,2015-08-11T23:59:59Z,1
HEJFE-4D7E68AD113380B3,TRAK,91032,164422,2015-02-23 15:41:00,2015-02-23T20:41:00Z,0,1,0,104,0,1,2015-08-11T23:59:59Z,1
HEJFE-0273F1BFCD285E7F,THC,52337,7750,2015-02-23 15:57:00,2015-02-23T20:57:00Z,0,1,0,105,0,1,2015-08-11T23:59:59Z,1
HEJFE-826F68D9DA88B37C,ATRC,90856,163889,2015-02-23 15:58:00,2015-02-23T20:58:00Z,0,1,0,106,0,1,2015-08-11T23:59:59Z,1
HEJFE-99F31DB35F001A44,DXCM,90664,162887,2015-02-25 15:44:00,2015-02-25T20:44:00Z,0,1,0,107,0,1,2015-08-11T23:59:59Z,1
HEJFE-BB62E8864F35DCD0,WLL,89901,155393,2015-02-25 15:54:00,2015-02-25T20:54:00Z,0,1,0,108,0,1,2015-08-11T23:59:59Z,1
HEJFE-0AA84E6E44ED02D8,AMSG,85675,65967,2015-02-25 15:57:00,2015-02-25T20:57:00Z,0,1,0,109,0,1,2015-08-11T23:59:59Z,1
HEJFE-A76C746507C0D9AF,DGI,92924,180029,2015-02-26 15:42:00,2015-02-26T20:42:00Z,0,1,0,109,0,1,2015-08-11T23:59:59Z,1
HEJFE-EBC49B9A024181AD,VEEV,14231,18689,2015-03-03 13:31:00,2015-03-03T18:31:00Z,0,1,0,110,0,1,2015-08-11T23:59:59Z,1
HEJFE-8415E931D4314106,KOPN,77515,25166,2015-03-10 14:58:00,2015-03-10T18:58:00Z,0,1,0,111,0,1,2015-08-11T23:59:59Z,1
HEJFE-873A37657E58A8CD,PAY,90657,162733,2015-03-10 15:11:00,2015-03-10T19:11:00Z,0,1,0,111,0,1,2015-08-11T23:59:59Z,1
HEJFE-05DE1473D5D7F7FB,MFRM,13110,161036,2015-03-19 15:55:00,2015-03-19T19:55:00Z,0,1,0,112,0,1,2015-08-11T23:59:59Z,1
HEJFE-0BAF70D8CC8F1631,NKE,57665,7906,2015-03-19 15:58:00,2015-03-19T19:58:00Z,0,1,0,113,0,1,2015-08-11T23:59:59Z,1
HEJFE-DF726FADF321F8E3,PVH,13936,8551,2015-03-25 15:18:00,2015-03-25T19:18:00Z,0,1,0,114,0,1,2015-08-11T23:59:59Z,1
HEJFE-EDF80619CED083CB,CAG,56274,3362,2015-03-25 15:19:00,2015-03-25T19:19:00Z,0,1,0,115,0,1,2015-08-11T23:59:59Z,1
HEJFE-9B84208BA575EAC4,RH,13687,111873,2015-03-26 15:41:00,2015-03-26T19:41:00Z,0,1,0,116,0,1,2015-08-11T23:59:59Z,1
HEJFE-753716A61B8622B0,GME,89301,145049,2015-03-26 15:42:00,2015-03-26T19:42:00Z,0,1,0,117,0,1,2015-08-11T23:59:59Z,1
HEJFE-238D29A9B584466D,SNX,89900,156155,2015-03-31 15:54:00,2015-03-31T19:54:00Z,0,1,0,118,0,1,2015-08-11T23:59:59Z,1
HEJFE-47A3794D1C360650,NOW,13447,171007,2015-04-16 14:33:00,2015-04-16T18:33:00Z,0,1,0,118,0,1,2015-08-11T23:59:59Z,1
HEJFE-263620F13A6443DD,MAT,39538,7116,2015-04-16 14:39:00,2015-04-16T18:39:00Z,0,1,0,119,0,1,2015-08-11T23:59:59Z,1
HEJFE-45559DD90D876D39,ILMN,88446,138205,2015-04-21 14:48:00,2015-04-21T18:48:00Z,0,1,0,119,0,1,2015-08-11T23:59:59Z,1
HEJFE-D35C7804C2F5326C,CREE,78875,27794,2015-04-21 15:29:00,2015-04-21T19:29:00Z,0,1,0,119,0,1,2015-08-11T23:59:59Z,1
HEJFE-760E36DA94752F1E,CAKE,77902,25737,2015-04-22 14:22:00,2015-04-22T18:22:00Z,0,1,0,120,0,1,2015-08-11T23:59:59Z,1
HEJFE-791693865584F9CB,COL,89014,144066,2015-04-22 14:29:00,2015-04-22T18:29:00Z,0,1,0,121,0,1,2015-08-11T23:59:59Z,1
HEJFE-5ED55A2EAC950921,AMP,90880,164708,2015-04-22 15:22:00,2015-04-22T19:22:00Z,0,1,0,122,0,1,2015-08-11T23:59:59Z,1
HEJFE-F170013A9B3F85E2,SKX,86949,121142,2015-04-22 15:24:00,2015-04-22T19:24:00Z,0,1,0,123,0,1,2015-08-11T23:59:59Z,1
HEJFE-87DDC59E7BB99A84,ALSN,13284,177966,2015-04-27 15:17:00,2015-04-27T19:17:00Z,0,1,0,124,0,1,2015-08-11T23:59:59Z,1
HEJFE-CFA461ED8BCCB889,OSK,90756,11721,2015-04-27 15:29:00,2015-04-27T19:29:00Z,0,1,0,125,0,1,2015-08-11T23:59:59Z,1
HEJFE-B5A8A297D14CD19D,TXT,23579,10519,2015-04-27 15:34:00,2015-04-27T19:34:00Z,0,1,0,126,0,1,2015-08-11T23:59:59Z,1
HEJFE-E1B57B6A71B06A7F,CR,20204,3580,2015-04-27 15:39:00,2015-04-27T19:39:00Z,0,1,0,127,0,1,2015-08-11T23:59:59Z,1
HEJFE-5408AADD0CBD54E8,CMP,89952,157153,2015-04-27 15:46:00,2015-04-27T19:46:00Z,0,1,0,128,0,1,2015-08-11T23:59:59Z,1
HEJFE-7F8218B15679F14D,NATI,81501,31607,2015-04-28 13:59:00,2015-04-28T17:59:00Z,0,1,0,128,0,1,2015-08-11T23:59:59Z,1
HEJFE-6F0A7632D9B4FFF6,ACHC,13105,192255,2015-04-28 14:35:00,2015-04-28T18:35:00Z,0,1,0,129,0,1,2015-08-11T23:59:59Z,1
HEJFE-9DF82252ED78E41F,CBT,46690,2593,2015-04-29 13:33:00,2015-04-29T17:33:00Z,0,1,0,130,0,1,2015-08-11T23:59:59Z,1
HEJFE-4291CBF555CED6A9,PBI,24459,8606,2015-04-29 14:47:00,2015-04-29T18:47:00Z,0,1,0,131,0,1,2015-08-11T23:59:59Z,1
HEJFE-B9C8B3D0EF3DCB5E,CACI,20512,2596,2015-04-29 14:54:00,2015-04-29T18:54:00Z,0,1,0,132,0,1,2015-08-11T23:59:59Z,1
HEJFE-8A0517D50278EAE4,POWI,85710,66032,2015-04-29 15:23:00,2015-04-29T19:23:00Z,0,1,0,133,0,1,2015-08-11T23:59:59Z,1
HEJFE-33FC1D00348D7C59,ROG,35991,9216,2015-04-29 15:29:00,2015-04-29T19:29:00Z,0,1,0,133,0,1,2015-08-11T23:59:59Z,1
HEJFE-D6AE4ACB99958A73,SGEN,88949,141460,2015-04-30 14:18:00,2015-04-30T18:18:00Z,0,1,0,134,0,1,2015-08-11T23:59:59Z,1
HEJFE-809E53BB4081FBAE,ROVI,84624,64480,2015-04-30 14:48:00,2015-04-30T18:48:00Z,0,1,0,135,0,1,2015-08-11T23:59:59Z,1
HEJFE-0BCEF81B6C0111FB,COLM,85863,105936,2015-04-30 15:13:00,2015-04-30T19:13:00Z,0,1,0,135,0,1,2015-08-11T23:59:59Z,1
HEJFE-AF58BD8CAE4E8D1C,FLT,12449,184700,2015-04-30 15:28:00,2015-04-30T19:28:00Z,0,1,0,136,0,1,2015-08-11T23:59:59Z,1
HEJFE-DB1E964E02F5921F,CLD,93095,180635,2015-04-30 15:33:00,2015-04-30T19:33:00Z,0,1,0,136,0,1,2015-08-11T23:59:59Z,1
HEJFE-D51AC412EDF93AA8,INT,75070,12471,2015-04-30 15:40:00,2015-04-30T19:40:00Z,0,1,0,137,0,1,2015-08-11T23:59:59Z,1
