event_id,historical_symbol,event_date,first_documented_illicit_trade_ts,public_announcement_ts,resolution_status,timestamp_kind,source_id,source_family,source_grade,source_reference,timestamp_confidence,information_asymmetry_seconds,research_use_only
HEJFE-4DEF5FDB3210E91B,SWKS,2015-01-22,2015-01-22T20:41:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-9DF82252ED78E41F,CBT,2015-04-29,2015-04-29T17:33:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-E25BAF3CFF23A3BE,BCR,2015-01-29,2015-01-29T20:27:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-5089F8E69B6BC646,KELYA,2013-05-07,2013-05-07T19:49:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-66BA40A20548B7E3,LRCX,2013-04-24,2013-04-24T17:43:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-334BAA0D940A418A,TER,2015-01-28,2015-01-28T20:49:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-D1D8268651584B6A,MKC,2013-04-01,2013-04-01T19:38:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-0273F1BFCD285E7F,THC,2015-02-23,2015-02-23T20:57:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-6C4EA140AD75FFE2,THC,2015-05-04,2015-05-04T19:48:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-830D52F9F7F1CEEB,MSCC,2012-01-26,2012-01-26T19:51:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-EDF80619CED083CB,CAG,2015-03-25,2015-03-25T19:19:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-0BAF70D8CC8F1631,NKE,2015-03-19,2015-03-19T19:58:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-332D5C6DC3ACE6B1,NDSN,2015-05-19,2015-05-19T19:35:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-7ED8DBD4804E4330,JWN,2015-02-19,2015-02-19T19:29:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-76DCF0FCA248E814,CB,2012-01-26,2012-01-26T17:17:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-D9C52E6CC595C380,ADI,2015-02-17,2015-02-17T19:05:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-09EB83905864C50A,ADI,2015-05-19,2015-05-19T19:15:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-B46D4F8F72DD0212,AMD,2013-10-17,2013-10-17T18:40:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-2FD552B9358078C6,BIO,2013-05-07,2013-05-07T19:55:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-C85CE64DFF947CFD,RES,2012-01-24,2012-01-24T20:20:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-7B8A1A0CD3E2966F,APC,2013-05-06,2013-05-06T17:27:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-824BABBAD988A068,SYMM,2012-01-25,2012-01-25T19:54:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-EC5EB2BE0D97833F,STT,2015-01-22,2015-01-22T20:50:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-D51AC412EDF93AA8,INT,2015-04-30,2015-04-30T19:40:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-9B43F5B767ECD0FA,MTH,2013-04-23,2013-04-23T18:24:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-2D6ABDFDE39E5919,MTH,2013-07-23,2013-07-23T19:18:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-FBA59D82CEE8FD00,CGNX,2015-02-12,2015-02-12T19:04:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-8EAA8616B1750B40,CGNX,2015-05-04,2015-05-04T19:09:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-0B87675BF7BEDBCA,EA,2015-01-27,2015-01-27T20:48:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-B7EFA7CF95262283,LSCC,2013-04-18,2013-04-18T18:24:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-CCC7747CFBDE893E,PNRA,2013-04-23,2013-04-23T18:25:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-600696AB8463FFD8,PNRA,2013-07-23,2013-07-23T19:11:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-8167467EBF64AABE,PNRA,2013-10-22,2013-10-22T19:20:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-4E643D38FFB3016E,PNRA,2015-02-11,2015-02-11T19:58:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-99CCB9D9BECE4E72,IDXX,2012-01-26,2012-01-26T18:47:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-13FC93F4D143B268,HAE,2012-01-27,2012-01-27T20:55:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-DA7595FDF91D8CBC,WRLD,2012-01-24,2012-01-24T20:53:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-C4D39B22234902F2,GILD,2015-02-03,2015-02-03T20:50:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-8415E931D4314106,KOPN,2015-03-10,2015-03-10T18:58:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-A9DB7C5F6FD1D978,SBUX,2015-01-22,2015-01-22T18:22:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-760E36DA94752F1E,CAKE,2015-04-22,2015-04-22T18:22:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-5B6F87699FF5093E,SM,2015-05-05,2015-05-05T19:08:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-81F188C0D790FE70,CREE,2015-01-20,2015-01-20T20:39:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-D35C7804C2F5326C,CREE,2015-04-21,2015-04-21T19:29:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-AA2597B95CFD2A2D,LSTR,2011-10-21,2011-10-21T19:48:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-8596DDD6A535BD90,DEST,2012-01-25,2012-01-25T20:34:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-D6BA56FA6D57427E,SCVL,2015-05-20,2015-05-20T19:17:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-8F17F6BEDF631C8B,MCRI,2013-04-25,2013-04-25T19:08:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-5CB3223BB28A6F14,BWA,2011-07-27,2011-07-27T14:59:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-7482DE1CD44C1A00,GMCR,2015-02-04,2015-02-04T19:07:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-56483839E5F0E88F,NVR,2012-01-25,2012-01-25T20:56:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-89844B5980EB5339,AF,2012-01-25,2012-01-25T20:18:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-8536AD777ECEEACB,GDI,2013-04-25,2013-04-25T19:17:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-489E74F74AFB5AFA,MCRL,2013-04-25,2013-04-25T18:32:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-D4E8CD312A2AA576,ISSI,2012-01-25,2012-01-25T19:51:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-F9E72EEF6E5BD373,NATI,2015-01-29,2015-01-29T20:51:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-7F8218B15679F14D,NATI,2015-04-28,2015-04-28T17:59:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-2F14F138D09BCA76,IBKC,2012-01-24,2012-01-24T18:53:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-48B08BAEDCEEDEFC,SNDK,2015-01-21,2015-01-21T20:00:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-54A5D1D8A5B593C8,NUAN,2015-02-05,2015-02-05T20:33:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-7CA38C1FDA5EA4D0,CENX,2013-04-25,2013-04-25T19:22:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-809E53BB4081FBAE,ROVI,2015-04-30,2015-04-30T18:48:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-00D863517A3A754C,URI,2015-01-21,2015-01-21T20:43:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-0AA84E6E44ED02D8,AMSG,2015-02-25,2015-02-25T20:57:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-8A0517D50278EAE4,POWI,2015-04-29,2015-04-29T19:23:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-1FCAAB3F7CC931CF,VRSN,2013-04-25,2013-04-25T18:07:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-FBFFFD99898188CF,COLM,2015-02-12,2015-02-12T19:33:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-0BCEF81B6C0111FB,COLM,2015-04-30,2015-04-30T19:13:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-F170013A9B3F85E2,SKX,2015-04-22,2015-04-22T19:24:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-D7FD00AF94DD8F41,JNPR,2011-04-19,2011-04-19T19:50:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-2558DC6865781793,JNPR,2013-04-23,2013-04-23T18:31:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-E61095F8DC4132DE,JNPR,2013-07-23,2013-07-23T19:03:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-F20ECC0C09BBC89E,JNPR,2013-10-22,2013-10-22T17:58:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-06AE65B9C8FB0395,STMP,2013-04-24,2013-04-24T19:28:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-2C887DA6F617936F,TIBX,2013-09-19,2013-09-19T19:29:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-E575622C8FDAB71F,ISIL,2013-04-24,2013-04-24T18:57:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-198DE6D99E934F32,EW,2011-04-20,2011-04-20T18:29:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-ED329F780A1085DA,EW,2013-04-23,2013-04-23T17:28:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-BFE8A42E0C19BA39,VDSI,2011-10-26,2011-10-26T18:26:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-947F50EBAFBA54DC,CRL,2015-02-10,2015-02-10T20:55:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-4FB44934BC5C5221,DNDN,2011-08-03,2011-08-03T19:56:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-8A11E54A9679E09D,ILMN,2015-01-27,2015-01-27T20:11:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-45559DD90D876D39,ILMN,2015-04-21,2015-04-21T18:48:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-3046057647A0FC5C,BRKR,2015-05-06,2015-05-06T19:30:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-1E37362063697486,FLR,2015-02-17,2015-02-17T20:06:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-830337A8564B826E,ALGN,2013-10-17,2013-10-17T17:43:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-D6AE4ACB99958A73,SGEN,2015-04-30,2015-04-30T18:18:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-791693865584F9CB,COL,2015-04-22,2015-04-22T18:29:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-74011A906BCCABE9,AGP,2011-10-27,2011-10-27T17:03:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-A3C5C43F6AC75C44,PRU,2015-05-06,2015-05-06T19:47:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-753716A61B8622B0,GME,2015-03-26,2015-03-26T19:42:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-238D29A9B584466D,SNX,2015-03-31,2015-03-31T19:54:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-BB62E8864F35DCD0,WLL,2015-02-25,2015-02-25T20:54:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-5408AADD0CBD54E8,CMP,2015-04-27,2015-04-27T19:46:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-3A94836BBC9F224A,TPX,2011-07-26,2011-07-26T17:40:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-22BF36BABB9D19D7,ALNY,2015-02-12,2015-02-12T20:55:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-E28050410A1480C6,DYN,2015-05-06,2015-05-06T18:24:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-0704950C71CFAFB4,TXRH,2015-02-23,2015-02-23T20:24:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-93A7D27EF425EDF0,MIC,2015-02-18,2015-02-18T20:58:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-C926C41F03E66E82,PAY,2014-12-15,2014-12-15T20:36:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-873A37657E58A8CD,PAY,2015-03-10,2015-03-10T19:11:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-99F31DB35F001A44,DXCM,2015-02-25,2015-02-25T20:44:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-CFA461ED8BCCB889,OSK,2015-04-27,2015-04-27T19:29:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-826F68D9DA88B37C,ATRC,2015-02-23,2015-02-23T20:58:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-5ED55A2EAC950921,AMP,2015-04-22,2015-04-22T19:22:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-4D7E68AD113380B3,TRAK,2015-02-23,2015-02-23T20:41:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-3ADF019D07BA84CE,HBI,2015-01-29,2015-01-29T19:38:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-20EC97300E6205B9,INWK,2015-02-12,2015-02-12T19:01:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-E4D3EE1A6CB984DB,EHTH,2011-04-26,2011-04-26T19:07:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-9527526FED86FA7D,EHTH,2013-04-25,2013-04-25T19:56:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-749FFC4028DF7B1C,VMW,2011-04-19,2011-04-19T18:56:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-3BBEC23702C1A375,VMW,2013-07-23,2013-07-23T19:35:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-350B3481A9CBBF0E,VMW,2013-10-21,2013-10-21T19:49:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-09EF6AD227D3AC5D,DGI,2012-07-31,2012-07-31T16:21:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-A5AE76F13A48C40F,DGI,2013-05-07,2013-05-07T18:29:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-A76C746507C0D9AF,DGI,2015-02-26,2015-02-26T20:42:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-C368B17FADFC15C7,ECHO,2013-04-25,2013-04-25T18:14:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-B04F1AF8B6E30A43,CLD,2015-02-17,2015-02-17T20:35:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-DB1E964E02F5921F,CLD,2015-04-30,2015-04-30T19:33:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-5D222F0F8E0C77D0,TW,2015-05-04,2015-05-04T19:47:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-E342F6A93B35E012,GNRC,2015-02-10,2015-02-10T20:52:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-DC002D2C6C767277,MUSA,2011-10-20,2011-10-20T19:48:00Z,,unresolved,,,,,,UNRESOLVED,,1
HEJFE-51F3066EAC9B8138,MUSA,2012-01-26,2012-01-26T17:21:00Z,,unresolved,,,,,,UNRESOLVED,,1
