event_id,historical_symbol,effective_date,primary_exchange,evidence_kind,evidence_date,source_grade,source_reference,evidence_excerpt,research_use_only
HEJFE-489E74F74AFB5AFA,MCRL,2013-04-25,XNAS,sec_earnings_exhibit,,A,https://www.sec.gov/Archives/edgar/data/932111/000093211113000020/exhibit991earningsrelease4.htm,"Micrel, Incorporated (Nasdaq NM: MCRL)",1
HEJFE-809E53BB4081FBAE,ROVI,2015-04-30,XNAS,sec_earnings_exhibit,,A,https://www.sec.gov/Archives/edgar/data/1424454/000142445415000015/ex99-1x03312015earningsrel.htm,Rovi Corporation (NASDAQ:ROVI),1
HEJFE-0AA84E6E44ED02D8,AMSG,2015-02-25,XNAS,sec_earnings_exhibit,,A,https://www.sec.gov/Archives/edgar/data/895930/000089593015000008/amsg8k20150225ex99.htm,AmSurg Corp. (NASDAQ: AMSG),1
HEJFE-FBFFFD99898188CF,COLM,2015-02-12,XNAS,sec_earnings_exhibit,,A,https://www.sec.gov/Archives/edgar/data/1050797/000156459015000652/colm-ex991_2015021210.htm,Columbia Sportswear Company (NASDAQ: COLM),1
HEJFE-0BCEF81B6C0111FB,COLM,2015-04-30,XNAS,sec_earnings_exhibit,,A,https://www.sec.gov/Archives/edgar/data/1050797/000156459015003100/colm-ex991_201504308.htm,Columbia Sportswear Company (NASDAQ: COLM),1
HEJFE-E61095F8DC4132DE,JNPR,2013-07-23,XNYS,sec_earnings_exhibit,,A,https://www.sec.gov/Archives/edgar/data/1043604/000119312513298913/d572332dex991.htm,Juniper Networks (NYSE: JNPR),1
HEJFE-06AE65B9C8FB0395,STMP,2013-04-24,XNAS,sec_earnings_exhibit,,A,https://www.sec.gov/Archives/edgar/data/1082923/000114036113017456/ex99_1.htm,Stamps.com (Nasdaq: STMP),1
HEJFE-E575622C8FDAB71F,ISIL,2013-04-24,XNAS,sec_earnings_exhibit,,A,https://www.sec.gov/Archives/edgar/data/1096325/000109632513000032/isil-20130424ex99104fe7d.htm,Intersil Corporation (NASDAQ Global Select: ISIL),1
HEJFE-BFE8A42E0C19BA39,VDSI,2011-10-26,XNAS,sec_earnings_exhibit,,A,https://www.sec.gov/Archives/edgar/data/1044777/000119312511292277/d249955dex991.htm,"VASCO Data Security International, Inc. (Nasdaq: VDSI)",1
HEJFE-A3C5C43F6AC75C44,PRU,2015-05-06,XNYS,sec_earnings_exhibit,,A,https://www.sec.gov/Archives/edgar/data/1137774/000119312515174562/d917306dex991.htm,"Prudential Financial, Inc. (NYSE:PRU)",1
HEJFE-E28050410A1480C6,DYN,2015-05-06,XNYS,sec_registration_prior,,A,https://www.sec.gov/Archives/edgar/data/1379895/000110465915013496/a15-5224_1ex99d1.htm,Dynegy Inc. (NYSE: DYN),1
